depth_m,b59_ang201,b60_ang201,b61_ang201,b62_ang201,b65_ang201,b67_ang201,b73_ang201,b74_ang201,b76_ang201,b78_ang201
0.621792,0.0384391,0.0385287,0.03679,0.0364052,0.0302607,0.0268685,0.0105042,0.0109583,0.0103716,0.0104679
0.62484,0.0384391,0.0385287,0.03679,0.0364052,0.0302607,0.0268685,0.0105042,0.0109583,0.0103716,0.0104679
0.65532,0.0395636,0.0380468,0.037109,0.037049,0.0306029,0.0280193,0.0105768,0.0107545,0.0099704,0.0103447
0.65532,0.0393743,0.0398214,0.0377468,0.036347,0.0311243,0.0269244,0.0103036,0.0105092,0.0111366,0.0106646
0.667512,0.0384677,0.0386573,0.0373911,0.0365036,0.0307375,0.0261622,0.0102552,0.0098493,0.0108644,0.0103425
0.669036,0.0394866,0.0386929,0.0379538,0.0368497,0.0302544,0.0261484,0.0098508,0.0099633,0.0102683,0.0102388
0.652272,0.0394866,0.0386929,0.0379538,0.0368497,0.0302544,0.0261484,0.0098508,0.0099633,0.0102683,0.0102388
0.652272,0.0377401,0.0389475,0.0373541,0.0366025,0.0296858,0.0265034,0.0100329,0.0099502,0.0106701,0.0102772
0.652272,0.036388,0.0364005,0.0357277,0.0349508,0.029409,0.026281,0.0095744,0.009989,0.0092053,0.0091804
0.652272,0.0379571,0.0378072,0.0364259,0.0356066,0.0297149,0.0257762,0.0101137,0.009695,0.0090694,0.0096177
0.652272,0.0368122,0.037137,0.0359707,0.0339021,0.0293548,0.0259448,0.0100102,0.0110017,0.0105994,0.0107269
0.652272,0.0372504,0.0371087,0.0368515,0.0350169,0.0293156,0.026324,0.0102555,0.0099152,0.0096261,0.0098039
0.652272,0.0374661,0.0366552,0.0354185,0.0352049,0.028103,0.0254585,0.009009,0.0097397,0.0098259,0.0098361
0.652272,0.0387467,0.0368582,0.0359467,0.0357666,0.0292908,0.025592,0.0088207,0.0094655,0.0098726,0.0094535
0.652272,0.0408622,0.0407253,0.0388947,0.0383411,0.0319429,0.0282986,0.010539,0.0108332,0.0110441,0.010527
0.652272,0.0390737,0.0376668,0.036723,0.0367564,0.0302786,0.0270355,0.0087298,0.0106023,0.0110641,0.0106112
0.652272,0.0391142,0.0389863,0.0377685,0.0383256,0.0310234,0.0270592,0.0099296,0.0098972,0.0097521,0.0098568
0.653288,0.0390737,0.0376668,0.036723,0.0367564,0.0302786,0.0270355,0.0087298,0.0106023,0.0110641,0.0106112
0.646176,0.0381083,0.0369017,0.0350844,0.0356038,0.0292555,0.0255776,0.0085858,0.0091606,0.0089038,0.0092042
0.646176,0.0364036,0.0361065,0.035911,0.0343379,0.0281687,0.0246053,0.009332,0.0101293,0.0095368,0.0096047
0.646176,0.0366215,0.0363307,0.0353989,0.0345454,0.0288203,0.0250653,0.0090189,0.009145,0.0095109,0.0097481
0.646176,0.0348496,0.0336138,0.0334346,0.0324102,0.0270236,0.0249067,0.0087226,0.0095825,0.0093013,0.0092493
0.646176,0.0355039,0.0351885,0.0336177,0.0332627,0.0268412,0.0241595,0.0084459,0.0087247,0.0088928,0.008773
0.646176,0.0349594,0.0341202,0.0335837,0.0338844,0.0283711,0.0247137,0.0091992,0.00938,0.0099176,0.0100625
0.646176,0.0377118,0.0365922,0.0361396,0.0360294,0.0294004,0.0266411,0.0102572,0.01112,0.0101823,0.0102839
0.646176,0.0374467,0.0379297,0.0362543,0.0354206,0.030604,0.027374,0.0100381,0.0105329,0.0103691,0.0103866
0.65024,0.0374467,0.0379297,0.0362543,0.0354206,0.030604,0.027374,0.0100381,0.0105329,0.0103691,0.0103866
0.664464,0.0341474,0.0341791,0.0328586,0.0322661,0.0273495,0.0237886,0.0102294,0.0107697,0.0103583,0.0102221
0.630936,0.0363159,0.0363378,0.0350141,0.0345658,0.0296102,0.0261188,0.0101083,0.0105734,0.0110913,0.0107825
0.623316,0.0368406,0.0363404,0.0356581,0.0348259,0.02997,0.0261358,0.0095923,0.0102505,0.0103163,0.0105705
0.626872,0.0375773,0.0377481,0.0361272,0.0358484,0.0301654,0.026514,0.0106809,0.0116001,0.0118681,0.0111121
0.633984,0.0375773,0.0377481,0.0361272,0.0358484,0.0301654,0.026514,0.0106809,0.0116001,0.0118681,0.0111121
0.646176,0.0379674,0.037922,0.0367873,0.035476,0.029911,0.0266297,0.0107562,0.0109168,0.010085,0.0102034
0.6604,0.0380566,0.03887,0.0359243,0.0354869,0.0303707,0.0257421,0.0106581,0.0104169,0.0111738,0.0108016
0.65532,0.0380566,0.03887,0.0359243,0.0354869,0.0303707,0.0257421,0.0106581,0.0104169,0.0111738,0.0108016
0.66548,0.0368567,0.0372365,0.0351088,0.0358774,0.0288628,0.0259115,0.008893,0.0105815,0.0100269,0.0100585
0.682752,0.0365033,0.0367167,0.0352193,0.0345692,0.0289061,0.0260873,0.0094253,0.0100625,0.009869,0.009793
0.682752,0.0371288,0.0366083,0.0361656,0.0356731,0.0288851,0.0259906,0.0096708,0.0104972,0.010183,0.0098821
0.718312,0.0357419,0.036039,0.0344958,0.0335546,0.0293101,0.0248505,0.0086209,0.0093992,0.009419,0.0092147
0.737616,0.0349991,0.0346395,0.0335405,0.0332123,0.0286788,0.0247797,0.0093788,0.0097957,0.0100034,0.0098719
0.737616,0.0346651,0.0343229,0.0332473,0.0326591,0.0287832,0.0235248,0.0097103,0.009397,0.0100246,0.0100892
0.758952,0.0346651,0.0343229,0.0332473,0.0326591,0.0287832,0.0235248,0.0097103,0.009397,0.0100246,0.0100892
1.25578,0.0298255,0.0305601,0.0278853,0.0284938,0.0243001,0.0199621,0.007487,0.0070419,0.0068836,0.0068898
1.22682,0.0289928,0.0286986,0.0275976,0.0270519,0.0217869,0.0176948,0.0063586,0.0071298,0.0073902,0.0067211
1.24358,0.0289787,0.027937,0.0270782,0.0261924,0.0222524,0.0172243,0.0065137,0.0065178,0.0068336,0.0062866
1.2253,0.0281122,0.0285549,0.0264734,0.0265007,0.0224254,0.0182727,0.0059914,0.0065448,0.005967,0.0058044
1.20701,0.0286264,0.0280375,0.0270322,0.0260354,0.0216306,0.0174673,0.0058392,0.0060595,0.0053036,0.0053941
1.19329,0.0289757,0.0280724,0.0273611,0.0262048,0.0212801,0.0173554,0.0058591,0.0056464,0.005633,0.005353
1.21158,0.0278279,0.0273037,0.0265231,0.0258394,0.0209991,0.0174453,0.0060202,0.0059576,0.0064589,0.0064417
1.22834,0.0290183,0.0292749,0.0279612,0.0271907,0.0231847,0.0189303,0.0066618,0.006684,0.0065679,0.0064047
0.751332,0.0346651,0.0343229,0.0332473,0.0326591,0.0287832,0.0235248,0.0097103,0.009397,0.0100246,0.0100892
1.24511,0.0306685,0.0292964,0.0286829,0.0280565,0.0227988,0.0187829,0.0071305,0.0067949,0.0068257,0.0066547
1.23444,0.0305563,0.0304939,0.028808,0.0279607,0.0232621,0.0190167,0.007098,0.0077411,0.007117,0.0074415
1.21615,0.0297036,0.0284495,0.0288282,0.027534,0.0232705,0.0190304,0.006417,0.0065494,0.0070589,0.0064971
1.25273,0.0282552,0.0285436,0.027387,0.0272923,0.0230324,0.0182099,0.0061826,0.0063341,0.0064853,0.0065521
1.2131,0.0268229,0.0267869,0.0250253,0.0249785,0.0205185,0.0159253,0.0042936,0.0049374,0.0050185,0.0054418
1.20701,0.0285455,0.0279186,0.0278335,0.0268433,0.022466,0.0181311,0.0063856,0.0072131,0.006214,0.0060111
